18:54:42 loading pretrained, weights/198_efficientnet-b5_f1_test/ckpt20.pth ...
18:54:45 Starting epoch: 0 | phase: train | 18:54:45
18:54:46 STREAM b'IHDR' 16 13
18:54:46 STREAM b'IDAT' 41 8192
18:54:46 STREAM b'IHDR' 16 13
18:54:46 STREAM b'IDAT' 41 8192
18:54:46 STREAM b'IHDR' 16 13
18:54:46 STREAM b'IDAT' 41 8192
18:54:46 STREAM b'IHDR' 16 13
18:54:46 STREAM b'IDAT' 41 8192
18:54:46 STREAM b'IHDR' 16 13
18:54:46 STREAM b'IDAT' 41 8192
18:54:46 STREAM b'IHDR' 16 13
18:54:46 STREAM b'IDAT' 41 8192
18:54:46 STREAM b'IHDR' 16 13
18:54:46 STREAM b'IDAT' 41 8192
18:54:46 STREAM b'IHDR' 16 13
18:54:46 STREAM b'IDAT' 41 8192
18:54:47 STREAM b'IHDR' 16 13
18:54:47 STREAM b'IDAT' 41 8192
18:54:47 STREAM b'IHDR' 16 13
18:54:47 STREAM b'IDAT' 41 8192
18:54:47 STREAM b'IHDR' 16 13
18:54:47 STREAM b'IDAT' 41 8192
18:54:47 STREAM b'IHDR' 16 13
18:54:47 STREAM b'IDAT' 41 8192
18:54:47 STREAM b'IHDR' 16 13
18:54:47 STREAM b'IDAT' 41 8192
18:54:47 STREAM b'IHDR' 16 13
18:54:47 STREAM b'IDAT' 41 8192
18:54:47 STREAM b'IHDR' 16 13
18:54:47 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:48 STREAM b'IHDR' 16 13
18:54:48 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:49 STREAM b'IHDR' 16 13
18:54:49 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
18:54:50 STREAM b'IHDR' 16 13
18:54:50 STREAM b'IDAT' 41 8192
